Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
86,4,,,FALSE,,,Hand washing,K,Algorithms,ELA,Shannon,,,,,,,
87,4,,,FALSE,,,Introduction to Algorithms,2,Algorithms,ELA,Melanie S.,folder,,,,,,
88,4,,,FALSE,,,Decomposing Spelling Words,2,Decomposition,ELA,Jen D.,folder,,,,,,
89,4,12/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1S8GpKRUcvU1fcYhVy4aD-rkEiv9GSSQt,,Character Impact Mapping,3,Abstraction,"SEL, ELA",Lori E.,folder,,,,https://docs.google.com/document/d/10PqDxpwx_XEj1WVwxtxx85C1Y-Zr1-TQIf61rr3PG-Y/edit,,
90,4,,,FALSE,,Skipped--unsure of academic rigor,Decomposing our Playground,3,Decomposition,ELA,Kelly M.,folder,,,,,,
91,4,,,FALSE,,,Fortunately,2,Pattern Recognition,ELA,Amy P.,folder,,,,,,
92,4,,,FALSE,,,Decomposing the Three Little Pigs,2,Decomposition,ELA,Kathleen M.,folder,,,,,,
93,4,08/24/2025,Shannon Wellsteed,FALSE,,Lesson Was revised and redone in 2024/25,Snowflake Patterns,2,Pattern Recognition,"SEL, ELD",Staci,folder,,,,,,
94,4,10/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1dksjZBmKdmjzBfQsDx7hc7taRCWptJTM,,Patterns in Stories,5,Pattern Recognition,ELA,Max S.,https://drive.google.com/drive/folders/1XUdmawpJv4DisDN2jdKq9IF9qbkQs50x,,,,https://docs.google.com/document/d/165u3ySNrJG3xil17a8T0wt9q3bPgifRYvK-v56REY0Y/edit,,
95,4,2/2/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ffa_Oh5OPwxiMXV2N0dXnEnVN9uGWQ74,,Decomposing an Essay,5,Decomposition,ELA,Anne C,folder,,,,,,
96,4,6/30/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Fx3HRSwns6-Vz8f3-xL9V4t5L_BIJJUf,,Editing and Revising,"4, 5",Algorithms,ELA,Charlie H.,folder,,,,https://docs.google.com/document/d/18ln4C9UkWMPl4Sku272HUPwhNVgLmzc2QJQCGsfITKw/edit,,
97,4,7/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1fFF6j2tW6zbKBKp_4B0ljWNyotwX_72g,,El ciclo de las rocas,4,Algorithms,ELA,Estrella M.,folder,,,Yes,,,
98,4,1/14/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1z2z1COBRggBmg8gXIL0qK3DQkMZBJmZZ,,Literary Device Poetry Patterns,4,Pattern Recognition,ELA,Kathleen L.,folder,,,Yes,,,
99,4,1/19/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1jgeHQEfrBkxn5heSeJbWFZ3Sxo4VA9zA,,Decomposition in Writing,4,Decomposition,ELA,Cory C,folder,,,,https://docs.google.com/document/d/1fDqLzy7gX9YqFIQH1o8zO3JKikw56huzEgjobIcmi5w/edit,,
