Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
326,6,07/18/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1GkZx1TEfQDut2HU3nHY_sbJmQjgDA11N?usp=drive_link,,Fairy Tales,2,Pattern Recognition,ELA,Thresa Rodocker,https://docs.google.com/document/d/1vCdVY2iaYnRmwbfnyF_AGzaN9q7aICrrTgzIi7MFNws/edit?usp=sharing,Finalized,,,,,
208,1,01/12/2026,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1IJKVTyDDa27UEUN26RjJ2DH_ZA4S_gcC?usp=drive_link,,What's the Desired Outcome,"2, 1",Algorithms,ELA,Amy Kneeland,https://drive.google.com/drive/folders/1Njtm5OtdvQjmuaZ4F3G24AHY0N2qdEl_?usp=drive_link,,,,,,
279,1,,,FALSE,,,Algorithms- What is debugging?,"2, 1",Algorithms,ELA,Kathleen Mateas,https://drive.google.com/drive/u/1/folders/16cGJOcrZSim8QBi6gTedZm5j1DBbqFdM,,,,,,
14,2,12/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1WCSK_ubMj2iTNUCZCm1lTqWlhleZxHn9,,Recipe Algorithm,"2, 3",Algorithms,"ELD, ELA",Dylana,folder,,,,,,
15,3,12/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1gYUhs-bQHfeagMnoZXCp3ZEGhkjpk9PD,,The three sounds of -ed,"2, 3",Pattern Recognition,ELD,Dylana,folder,,,,,,
16,4,12/22/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1yOG-t3tv48tI_js_aw3TP8kgq5Kyy7dj,,Decompose a Letter,"2, 3",Decomposition,ELD,Dylana,folder,,,,,,
17,5,12/22/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cQeMT1vEvWk61j_JO2GYoJsiq_ieugT_,,Decompose a Project,"2, 3",Decomposition ,"ELD, ELA",Dylana,folder,,,,,,
32,1,12/11/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1A69tZPw6R7CiIkwZ7mYNBkqzb0wup5yp,,Emoji Abstraction,3,Abstraction ,SEL,Lori E.,folder,,,,,,
33,1,,,FALSE,,"A very similar lesson to Garfas, Y2L3; I merged lesson materials in the Garfas lesson.",Patterns in spelling,3,Pattern Recognition,ELA,Kelly M.,folder,,,,,,
50,2,,,FALSE,,Skipped--no lesson plan,Intro to Algorithms (Mood Meter),3,Abstraction,SEL,Lori E.,folder,,,,,,
69,3,12/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Mc-36njEo3hPYM1r7xoJSufU74aUDcvW,,Movement Routine Algorithm,3,Algorithms,"SEL, PE",Lori E.,folder,,,,,,
70,2,12/21/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Se2v4peMz4G0feqib-PQYEY7M6f1NcD1,,I Can Write an Algorithm!,3,Algorithms,ELA,Kelly M.,Folder,,,,,,
